Time  1 - default sample rate [s]	Rods pressure [bar]	Shell_0_L [µm/m]	Shell_0_Z [µm/m]	Shell_1_L [µm/m]	Shell_1_Z [µm/m]	Shell_2_L [µm/m]	Shell_2_Z [µm/m]	Shell_3_L [µm/m]	Shell_3_Z [µm/m]	Shell_4_Z [µm/m]	Shell_5_L [µm/m]	Shell_5_Z [µm/m]	Coil_1_Th2_up [µm/m]	Coil_1_Th3_up [µm/m]	Rod_1_TC [µm/m]	Rod_2_TC [µm/m]
7.600	11.17	-525.49	1035.8	-476.69	1152.6	-268.69	-414.98	-399.40	970.65	1162.1	-175.70	-12.33	43.89	-181.82	22.10	61.05	
7.700	11.18	-525.51	1035.8	-476.72	1152.6	-268.72	-414.99	-399.33	970.67	1162.1	-175.69	-12.30	43.84	-181.82	22.10	61.03	
7.800	11.18	-525.49	1035.8	-476.75	1152.6	-268.75	-415.03	-399.36	970.66	1162.0	-175.73	-12.32	43.77	-181.83	22.08	61.03	
7.900	11.17	-525.50	1035.9	-476.80	1152.6	-268.73	-415.09	-399.46	970.58	1161.9	-175.77	-12.40	43.73	-181.86	22.06	61.04	
8.000	11.17	-525.50	1035.9	-476.77	1152.6	-268.68	-415.08	-399.51	970.53	1161.8	-175.72	-12.42	43.76	-181.85	22.05	61.04	
8.100	11.17	-525.50	1035.9	-476.72	1152.6	-268.65	-415.07	-399.49	970.53	1161.9	-175.66	-12.42	43.79	-181.83	22.04	61.02	
8.200	11.16	-525.50	1035.9	-476.70	1152.6	-268.67	-415.15	-399.42	970.62	1161.9	-175.60	-12.39	43.81	-181.82	22.02	60.99	
8.300	11.16	-525.50	1035.8	-476.72	1152.5	-268.69	-415.20	-399.37	970.70	1162.0	-175.60	-12.36	43.82	-181.82	22.01	60.98	
8.400	11.53	-525.55	1035.8	-476.73	1152.5	-268.67	-415.14	-399.34	970.68	1162.0	-175.64	-12.38	43.83	-181.83	22.01	60.97	
8.500	11.95	-525.57	1035.8	-476.73	1152.5	-268.64	-415.06	-399.37	970.66	1162.0	-175.68	-12.40	43.83	-181.85	22.04	61.00	
8.600	12.04	-525.52	1035.9	-476.72	1152.5	-268.56	-415.01	-399.38	970.63	1162.0	-175.69	-12.36	43.80	-181.83	22.42	61.31	
8.700	12.62	-525.46	1035.9	-476.73	1152.5	-268.58	-415.04	-399.37	970.62	1162.0	-175.68	-12.33	43.78	-181.78	23.23	61.98	
8.800	13.47	-525.41	1035.8	-476.67	1152.5	-268.62	-415.04	-399.36	970.68	1162.1	-175.68	-12.35	43.76	-181.75	24.00	62.61	
8.900	14.40	-525.45	1035.8	-476.65	1152.5	-268.65	-415.00	-399.39	970.72	1162.1	-175.66	-12.37	43.73	-181.70	25.00	63.43	
9.000	15.88	-525.60	1035.8	-476.68	1152.4	-268.68	-414.95	-399.49	970.69	1162.1	-175.71	-12.36	43.72	-181.67	27.22	65.28	
9.100	16.67	-525.68	1035.9	-476.72	1152.4	-268.66	-414.92	-399.50	970.64	1162.0	-175.82	-12.33	43.72	-181.70	30.27	67.87	
9.200	17.25	-525.68	1035.9	-476.73	1152.5	-268.66	-414.91	-399.45	970.64	1162.1	-175.88	-12.32	43.71	-181.64	34.24	71.24	
9.300	17.38	-525.67	1035.9	-476.70	1152.5	-268.70	-414.93	-399.46	970.67	1162.1	-175.88	-12.29	43.70	-181.59	36.96	73.58	
9.400	17.29	-525.64	1035.9	-476.65	1152.5	-268.77	-414.98	-399.51	970.67	1162.1	-175.88	-12.25	43.68	-181.51	39.63	75.87	
9.500	17.18	-525.60	1035.9	-476.64	1152.5	-268.79	-415.01	-399.49	970.69	1162.0	-175.89	-12.22	43.64	-181.49	41.02	77.11	
9.600	17.35	-525.57	1035.9	-476.67	1152.5	-268.81	-414.98	-399.48	970.70	1162.0	-175.90	-12.21	43.63	-181.53	41.49	77.55	
9.700	17.97	-525.54	1035.9	-476.62	1152.6	-268.80	-414.98	-399.50	970.67	1162.0	-175.89	-12.17	43.63	-181.55	41.61	77.60	
9.800	18.22	-525.51	1035.8	-476.55	1152.7	-268.84	-414.99	-399.55	970.64	1162.0	-175.82	-12.15	43.65	-181.55	41.98	77.87	
9.900	18.30	-525.57	1035.8	-476.56	1152.7	-268.90	-414.98	-399.55	970.65	1162.1	-175.80	-12.21	43.65	-181.52	43.15	78.89	
10.00	18.39	-525.63	1035.8	-476.62	1152.6	-268.85	-414.98	-399.44	970.69	1162.1	-175.83	-12.26	43.64	-181.50	44.36	79.97	
10.10	18.51	-525.64	1035.9	-476.67	1152.6	-268.83	-414.98	-399.40	970.73	1162.2	-175.83	-12.26	43.62	-181.48	44.91	80.46	
10.20	18.61	-525.64	1035.9	-476.67	1152.5	-268.81	-415.02	-399.42	970.76	1162.1	-175.84	-12.26	43.63	-181.50	45.33	80.84	
10.30	18.82	-525.68	1035.9	-476.69	1152.5	-268.76	-415.04	-399.46	970.74	1162.1	-175.82	-12.22	43.67	-181.49	45.67	81.14	
10.40	18.99	-525.73	1035.9	-476.71	1152.5	-268.78	-414.99	-399.49	970.67	1162.1	-175.85	-12.18	43.66	-181.48	46.08	81.53	
10.50	19.14	-525.75	1035.9	-476.69	1152.5	-268.80	-414.94	-399.50	970.66	1162.1	-175.93	-12.16	43.61	-181.49	46.46	81.86	
10.60	19.27	-525.78	1036.0	-476.60	1152.5	-268.79	-414.92	-399.50	970.73	1162.2	-175.96	-12.14	43.62	-181.48	47.02	82.34	
10.70	19.33	-525.75	1035.9	-476.58	1152.5	-268.81	-414.95	-399.52	970.73	1162.2	-175.89	-12.15	43.63	-181.45	47.58	82.83	
10.80	19.34	-525.68	1035.9	-476.65	1152.5	-268.83	-414.95	-399.54	970.72	1162.2	-175.88	-12.19	43.60	-181.43	48.09	83.29	
10.90	19.34	-525.68	1035.9	-476.68	1152.5	-268.87	-414.95	-399.56	970.76	1162.1	-175.92	-12.23	43.60	-181.42	48.36	83.55	
11.00	19.32	-525.70	1035.9	-476.71	1152.6	-268.92	-414.98	-399.57	970.76	1162.1	-175.88	-12.24	43.58	-181.41	48.56	83.74	
11.10	19.29	-525.67	1035.9	-476.74	1152.6	-268.90	-414.97	-399.55	970.68	1162.1	-175.83	-12.22	43.53	-181.42	48.61	83.79	
11.20	19.24	-525.64	1035.9	-476.74	1152.5	-268.90	-414.93	-399.54	970.68	1162.1	-175.78	-12.21	43.57	-181.45	48.57	83.78	
11.30	19.19	-525.62	1035.9	-476.71	1152.5	-268.92	-414.89	-399.52	970.71	1162.2	-175.80	-12.19	43.60	-181.43	48.54	83.74	
11.40	19.16	-525.62	1035.8	-476.68	1152.6	-268.92	-414.84	-399.50	970.71	1162.1	-175.88	-12.16	43.61	-181.41	48.52	83.70	
11.50	19.14	-525.72	1035.8	-476.69	1152.6	-268.93	-414.84	-399.58	970.70	1162.1	-175.87	-12.13	43.62	-181.37	48.49	83.66	
11.60	19.11	-525.72	1035.9	-476.72	1152.6	-268.92	-414.86	-399.66	970.70	1162.1	-175.84	-12.13	43.62	-181.34	48.45	83.63	
11.70	19.09	-525.72	1035.9	-476.71	1152.6	-268.91	-414.82	-399.63	970.69	1162.1	-175.88	-12.16	43.63	-181.37	48.41	83.61	
11.80	19.08	-525.79	1035.9	-476.69	1152.6	-268.90	-414.80	-399.54	970.73	1162.1	-175.92	-12.23	43.61	-181.42	48.38	83.58	
11.90	19.08	-525.73	1035.9	-476.68	1152.5	-268.84	-414.83	-399.47	970.75	1162.1	-175.94	-12.29	43.53	-181.51	48.38	83.54	
12.00	19.07	-525.71	1035.9	-476.69	1152.5	-268.84	-414.80	-399.45	970.72	1162.1	-175.89	-12.29	43.47	-181.55	48.33	83.52	
12.10	19.07	-525.70	1035.9	-476.69	1152.5	-268.88	-414.82	-399.50	970.70	1162.1	-175.85	-12.23	43.45	-181.54	48.29	83.50	
12.20	19.08	-525.68	1035.9	-476.67	1152.5	-268.89	-414.94	-399.54	970.69	1162.0	-175.81	-12.15	43.52	-181.51	48.25	83.45	
12.30	19.07	-525.68	1036.0	-476.72	1152.6	-268.91	-414.94	-399.53	970.70	1162.0	-175.84	-12.22	43.60	-181.45	48.22	83.44	
12.40	19.08	-525.75	1036.0	-476.77	1152.6	-268.95	-414.93	-399.52	970.68	1161.9	-175.90	-12.33	43.60	-181.46	48.22	83.43	
12.50	19.12	-525.77	1035.9	-476.73	1152.6	-268.93	-414.94	-399.52	970.68	1161.9	-175.89	-12.31	43.58	-181.49	48.22	83.43	
12.60	19.43	-525.75	1035.9	-476.72	1152.5	-268.89	-414.90	-399.53	970.65	1162.0	-175.83	-12.25	43.60	-181.46	48.23	83.42	
12.70	19.98	-525.74	1035.9	-476.77	1152.5	-268.89	-414.89	-399.55	970.66	1162.1	-175.79	-12.19	43.61	-181.44	48.29	83.49	
12.80	20.61	-525.72	1035.9	-476.82	1152.6	-268.94	-414.92	-399.60	970.69	1162.1	-175.78	-12.15	43.60	-181.42	48.78	83.94	
12.90	21.28	-525.69	1035.9	-476.78	1152.6	-268.96	-414.93	-399.60	970.72	1162.1	-175.83	-12.15	43.59	-181.40	49.66	84.72	
13.00	21.92	-525.70	1035.9	-476.71	1152.6	-268.92	-414.88	-399.56	970.77	1162.1	-175.96	-12.16	43.58	-181.35	51.42	86.29	
13.10	22.41	-525.72	1036.0	-476.73	1152.5	-268.85	-414.87	-399.55	970.74	1162.1	-176.01	-12.16	43.60	-181.31	53.52	88.21	
13.20	22.58	-525.67	1035.9	-476.77	1152.5	-268.83	-414.85	-399.55	970.71	1162.1	-175.97	-12.18	43.60	-181.31	55.65	90.18	
13.30	22.58	-525.63	1035.9	-476.78	1152.6	-268.85	-414.82	-399.54	970.71	1162.1	-175.98	-12.24	43.53	-181.36	57.06	91.49	
13.40	22.53	-525.63	1035.9	-476.74	1152.6	-268.90	-414.86	-399.59	970.65	1162.0	-176.03	-12.27	43.41	-181.43	58.34	92.66	
13.50	22.46	-525.66	1035.9	-476.71	1152.6	-268.96	-414.93	-399.64	970.60	1162.0	-176.09	-12.22	43.41	-181.40	58.91	93.16	
13.60	22.33	-525.67	1035.8	-476.70	1152.6	-268.98	-414.93	-399.69	970.66	1162.1	-176.07	-12.18	43.48	-181.34	59.02	93.26	
13.70	22.25	-525.67	1035.8	-476.65	1152.6	-269.00	-414.92	-399.73	970.68	1162.1	-176.01	-12.18	43.49	-181.33	58.97	93.25	
13.80	22.21	-525.66	1035.8	-476.60	1152.6	-269.03	-414.92	-399.64	970.70	1162.2	-175.97	-12.19	43.50	-181.33	58.87	93.18	
13.90	22.19	-525.66	1035.9	-476.68	1152.6	-269.01	-414.91	-399.55	970.69	1162.2	-175.94	-12.18	43.50	-181.32	58.76	93.09	
14.00	22.18	-525.70	1035.9	-476.77	1152.5	-268.97	-414.90	-399.56	970.66	1162.1	-175.92	-12.18	43.49	-181.29	58.66	93.00	
14.10	22.17	-525.72	1035.9	-476.77	1152.5	-268.98	-414.88	-399.56	970.66	1162.1	-175.94	-12.20	43.49	-181.28	58.60	92.94	
14.20	22.14	-525.75	1035.9	-476.71	1152.5	-268.97	-414.89	-399.57	970.67	1162.1	-175.96	-12.23	43.51	-181.31	58.51	92.89	
14.30	22.09	-525.76	1035.9	-476.64	1152.5	-269.02	-414.93	-399.54	970.68	1162.2	-176.01	-12.18	43.54	-181.35	58.41	92.82	
14.40	22.03	-525.78	1035.8	-476.62	1152.6	-269.02	-414.92	-399.53	970.65	1162.2	-176.05	-12.15	43.50	-181.34	58.30	92.71	
14.50	21.92	-525.81	1035.8	-476.64	1152.6	-268.97	-414.86	-399.60	970.64	1162.2	-176.08	-12.18	43.48	-181.28	58.21	92.62	
14.60	21.85	-525.77	1035.9	-476.65	1152.6	-268.90	-414.81	-399.71	970.65	1162.1	-176.05	-12.21	43.50	-181.21	58.11	92.53	
14.70	21.82	-525.70	1036.0	-476.66	1152.6	-268.87	-414.79	-399.71	970.64	1162.1	-176.01	-12.20	43.47	-181.23	58.04	92.44	
14.80	21.80	-525.68	1036.0	-476.72	1152.6	-268.86	-414.80	-399.61	970.64	1162.2	-176.01	-12.20	43.41	-181.33	57.92	92.37	
14.90	21.81	-525.69	1036.0	-476.77	1152.6	-268.90	-414.84	-399.57	970.65	1162.2	-175.96	-12.17	43.40	-181.37	57.83	92.31	
15.00	21.81	-525.73	1035.9	-476.73	1152.6	-268.95	-414.93	-399.56	970.69	1162.1	-175.86	-12.14	43.41	-181.34	57.72	92.21	
15.10	21.81	-525.77	1035.9	-476.66	1152.5	-268.96	-414.96	-399.58	970.72	1162.1	-175.85	-12.12	43.46	-181.28	57.61	92.11	
