Time  1 - default sample rate [s]	Rods pressure [bar]	Shell_0_L [µm/m]	Shell_0_Z [µm/m]	Shell_1_L [µm/m]	Shell_1_Z [µm/m]	Shell_2_L [µm/m]	Shell_2_Z [µm/m]	Shell_3_L [µm/m]	Shell_3_Z [µm/m]	Shell_4_Z [µm/m]	Shell_5_L [µm/m]	Shell_5_Z [µm/m]	Coil_1_Th2_up [µm/m]	Coil_1_Th3_up [µm/m]	Rod_1_TC [µm/m]	Rod_2_TC [µm/m]
190.10	15.34	-525.89	1035.8	-476.72	1152.4	-268.19	-413.78	-398.82	971.49	1163.0	-176.38	-12.34	43.12	-180.89	76.60	113.55	
190.20	15.32	-525.85	1035.9	-476.70	1152.4	-268.14	-413.79	-398.79	971.52	1163.0	-176.41	-12.33	43.09	-180.84	77.98	114.69	
190.30	15.32	-525.87	1035.8	-476.73	1152.4	-268.20	-413.79	-398.82	971.47	1162.9	-176.50	-12.41	43.06	-180.78	79.08	115.66	
190.40	15.32	-525.90	1035.7	-476.75	1152.4	-268.29	-413.79	-398.85	971.37	1162.8	-176.54	-12.52	43.06	-180.80	79.84	116.37	
190.50	15.28	-525.90	1035.7	-476.75	1152.4	-268.26	-413.83	-398.84	971.36	1162.8	-176.55	-12.59	43.08	-180.83	80.38	116.82	
190.60	15.21	-525.86	1035.8	-476.73	1152.4	-268.24	-413.91	-398.83	971.38	1162.9	-176.60	-12.56	43.07	-180.83	81.16	117.44	
190.70	15.17	-525.87	1035.8	-476.73	1152.4	-268.26	-413.90	-398.83	971.45	1163.0	-176.62	-12.41	43.02	-180.81	82.03	118.18	
190.80	15.15	-525.87	1035.8	-476.73	1152.4	-268.27	-413.86	-398.79	971.54	1163.0	-176.57	-12.35	42.99	-180.87	82.89	118.90	
190.90	15.13	-525.88	1035.8	-476.69	1152.4	-268.27	-413.84	-398.77	971.58	1163.0	-176.55	-12.37	42.99	-180.89	83.29	119.23	
191.00	15.10	-525.95	1035.8	-476.63	1152.5	-268.25	-413.84	-398.80	971.59	1163.0	-176.57	-12.44	42.98	-180.85	83.43	119.39	
191.10	15.06	-525.91	1035.8	-476.62	1152.5	-268.25	-413.87	-398.85	971.52	1163.0	-176.57	-12.44	43.01	-180.80	83.34	119.39	
191.20	15.05	-525.89	1035.7	-476.69	1152.4	-268.35	-413.90	-398.82	971.40	1162.9	-176.49	-12.36	43.07	-180.76	83.23	119.32	
191.30	15.03	-525.89	1035.8	-476.72	1152.4	-268.38	-413.87	-398.75	971.38	1162.8	-176.48	-12.34	43.07	-180.74	83.19	119.24	
191.40	15.01	-525.91	1035.8	-476.76	1152.4	-268.31	-413.75	-398.70	971.44	1162.8	-176.54	-12.41	43.04	-180.77	83.15	119.17	
191.50	15.00	-525.91	1035.8	-476.82	1152.4	-268.33	-413.72	-398.75	971.48	1162.8	-176.55	-12.50	43.04	-180.87	83.11	119.10	
191.60	15.00	-525.92	1035.7	-476.82	1152.4	-268.32	-413.79	-398.81	971.44	1162.9	-176.56	-12.47	43.04	-180.94	83.09	119.07	
191.70	14.98	-525.90	1035.7	-476.80	1152.4	-268.23	-413.85	-398.86	971.47	1163.0	-176.62	-12.46	43.04	-180.92	83.09	119.06	
191.80	14.95	-525.86	1035.7	-476.79	1152.4	-268.15	-413.83	-398.88	971.56	1163.0	-176.67	-12.52	43.07	-180.81	83.08	119.04	
191.90	14.96	-525.85	1035.7	-476.75	1152.4	-268.22	-413.81	-398.82	971.60	1163.0	-176.64	-12.55	43.07	-180.78	83.06	119.02	
192.00	15.02	-525.84	1035.7	-476.73	1152.5	-268.27	-413.84	-398.82	971.56	1163.0	-176.68	-12.56	43.04	-180.87	83.06	119.01	
192.10	15.01	-525.79	1035.8	-476.72	1152.4	-268.25	-413.82	-398.83	971.51	1163.0	-176.69	-12.55	43.04	-180.93	83.07	119.00	
192.20	14.98	-525.79	1035.7	-476.63	1152.4	-268.19	-413.77	-398.85	971.44	1163.0	-176.65	-12.50	43.01	-180.93	83.07	119.00	
192.30	14.99	-525.86	1035.7	-476.60	1152.4	-268.13	-413.77	-398.88	971.40	1163.0	-176.58	-12.50	43.00	-180.90	83.06	118.99	
192.40	14.98	-525.91	1035.7	-476.67	1152.4	-268.14	-413.76	-398.86	971.41	1163.0	-176.61	-12.55	43.01	-180.89	83.05	118.97	
192.50	14.96	-525.93	1035.7	-476.73	1152.4	-268.13	-413.76	-398.84	971.45	1163.0	-176.66	-12.55	43.01	-180.90	83.03	118.95	
192.60	14.79	-525.92	1035.7	-476.81	1152.3	-268.13	-413.80	-398.88	971.44	1162.9	-176.72	-12.49	43.03	-180.85	82.98	118.92	
192.70	12.06	-525.87	1035.6	-476.82	1152.3	-268.18	-413.77	-398.93	971.40	1162.9	-176.72	-12.48	43.02	-180.77	82.95	118.91	
192.80	8.145	-525.88	1035.6	-476.78	1152.3	-268.28	-413.74	-398.97	971.39	1162.8	-176.72	-12.48	42.97	-180.78	82.83	118.80	
192.90	5.481	-525.95	1035.6	-476.74	1152.2	-268.35	-413.74	-399.00	971.40	1162.8	-176.69	-12.51	42.93	-180.81	82.38	118.40	
193.00	3.783	-526.00	1035.6	-476.64	1152.3	-268.38	-413.77	-398.89	971.40	1162.9	-176.65	-12.56	42.92	-180.80	81.26	117.42	
193.10	2.557	-525.95	1035.7	-476.65	1152.4	-268.37	-413.77	-398.79	971.36	1162.8	-176.65	-12.56	42.94	-180.82	80.11	116.40	
193.20	1.663	-525.89	1035.8	-476.71	1152.4	-268.29	-413.70	-398.72	971.40	1162.8	-176.67	-12.54	42.99	-180.87	79.24	115.67	
193.30	1.236	-525.88	1035.8	-476.74	1152.4	-268.24	-413.66	-398.70	971.45	1162.9	-176.68	-12.51	43.01	-180.87	78.79	115.30	
193.40	1.143	-525.93	1035.8	-476.81	1152.4	-268.23	-413.70	-398.80	971.48	1162.8	-176.61	-12.43	43.05	-180.86	78.38	114.93	
193.50	1.138	-525.92	1035.8	-476.79	1152.4	-268.18	-413.72	-398.88	971.48	1162.8	-176.53	-12.43	43.05	-180.88	78.10	114.71	
193.60	1.142	-525.85	1035.8	-476.70	1152.4	-268.14	-413.76	-398.91	971.44	1162.8	-176.54	-12.52	43.04	-180.94	77.89	114.56	
193.70	1.145	-525.81	1035.8	-476.67	1152.4	-268.15	-413.80	-398.90	971.42	1162.8	-176.57	-12.55	43.02	-180.98	77.77	114.48	
193.80	1.145	-525.78	1035.8	-476.67	1152.4	-268.16	-413.84	-398.85	971.39	1162.9	-176.58	-12.55	42.97	-181.01	77.67	114.41	
193.90	1.144	-525.87	1035.7	-476.73	1152.3	-268.20	-413.81	-398.80	971.36	1162.9	-176.55	-12.57	42.96	-181.00	77.64	114.36	
194.00	1.145	-525.99	1035.7	-476.86	1152.3	-268.22	-413.80	-398.87	971.40	1162.9	-176.56	-12.63	42.99	-181.02	77.62	114.33	
194.10	1.145	-526.03	1035.7	-476.86	1152.3	-268.24	-413.85	-398.93	971.44	1162.8	-176.61	-12.67	43.00	-181.05	77.61	114.30	
194.20	1.145	-526.01	1035.7	-476.76	1152.4	-268.30	-413.87	-398.87	971.46	1162.8	-176.64	-12.66	43.05	-181.02	77.61	114.29	
194.30	1.144	-525.94	1035.7	-476.71	1152.4	-268.29	-413.82	-398.80	971.43	1162.8	-176.61	-12.57	43.07	-180.94	77.61	114.31	
194.40	1.143	-525.91	1035.7	-476.72	1152.4	-268.16	-413.80	-398.81	971.40	1162.9	-176.64	-12.58	43.04	-180.92	77.61	114.33	
194.50	1.144	-525.88	1035.7	-476.73	1152.4	-268.07	-413.77	-398.85	971.39	1162.9	-176.69	-12.60	43.05	-180.95	77.60	114.34	
194.60	1.144	-525.88	1035.7	-476.75	1152.4	-268.11	-413.78	-398.90	971.40	1162.9	-176.66	-12.56	43.05	-180.94	77.59	114.33	
194.70	1.143	-525.90	1035.7	-476.74	1152.4	-268.26	-413.88	-398.90	971.45	1162.9	-176.63	-12.47	43.01	-180.92	77.60	114.32	
194.80	1.144	-525.87	1035.8	-476.69	1152.4	-268.35	-413.94	-398.87	971.52	1162.8	-176.59	-12.44	42.99	-180.94	77.60	114.29	
194.90	1.145	-525.85	1035.8	-476.67	1152.4	-268.35	-413.94	-398.87	971.54	1162.8	-176.57	-12.52	43.02	-180.96	77.59	114.29	
195.00	1.144	-525.91	1035.8	-476.67	1152.4	-268.31	-413.91	-398.87	971.48	1162.8	-176.52	-12.58	43.05	-180.96	77.59	114.31	
195.10	1.144	-525.91	1035.8	-476.68	1152.4	-268.26	-413.81	-398.84	971.49	1162.7	-176.50	-12.55	43.07	-180.92	77.61	114.31	
195.20	1.145	-525.88	1035.7	-476.69	1152.5	-268.21	-413.74	-398.88	971.56	1162.8	-176.55	-12.49	43.07	-180.90	77.61	114.27	
195.30	1.145	-525.85	1035.7	-476.70	1152.4	-268.19	-413.74	-398.90	971.53	1162.8	-176.55	-12.50	43.06	-180.89	77.61	114.25	
195.40	1.145	-525.92	1035.7	-476.70	1152.4	-268.19	-413.69	-398.87	971.45	1162.9	-176.58	-12.59	43.07	-180.86	77.61	114.25	
195.50	1.144	-525.94	1035.7	-476.72	1152.4	-268.22	-413.74	-398.83	971.48	1162.9	-176.59	-12.65	43.07	-180.83	77.61	114.29	
195.60	1.144	-525.91	1035.7	-476.73	1152.4	-268.24	-413.82	-398.85	971.51	1163.0	-176.53	-12.69	43.07	-180.83	77.60	114.29	
195.70	1.145	-525.86	1035.8	-476.72	1152.4	-268.21	-413.80	-398.83	971.51	1162.9	-176.50	-12.67	43.10	-180.82	77.59	114.29	
195.80	1.147	-525.81	1035.8	-476.67	1152.5	-268.19	-413.81	-398.86	971.50	1162.9	-176.45	-12.58	43.11	-180.79	77.58	114.27	
195.90	1.147	-525.85	1035.8	-476.70	1152.4	-268.15	-413.86	-398.94	971.49	1162.9	-176.48	-12.56	43.07	-180.76	77.57	114.26	
196.00	1.149	-525.94	1035.8	-476.74	1152.4	-268.18	-413.85	-399.00	971.39	1162.9	-176.53	-12.60	43.10	-180.76	77.57	114.25	
196.10	1.149	-525.98	1035.7	-476.75	1152.4	-268.24	-413.85	-399.03	971.28	1162.9	-176.53	-12.61	43.12	-180.80	77.57	114.25	
196.20	1.149	-525.99	1035.7	-476.73	1152.4	-268.29	-413.87	-398.98	971.29	1162.9	-176.51	-12.62	43.10	-180.83	77.58	114.25	
196.30	1.149	-525.97	1035.8	-476.71	1152.4	-268.28	-413.82	-398.85	971.40	1162.9	-176.51	-12.57	43.06	-180.84	77.60	114.25	
196.40	1.149	-525.93	1035.8	-476.70	1152.4	-268.21	-413.73	-398.81	971.46	1162.9	-176.50	-12.50	43.00	-180.83	77.61	114.26	
196.50	1.148	-525.94	1035.7	-476.70	1152.4	-268.15	-413.72	-398.82	971.47	1162.9	-176.48	-12.50	42.97	-180.82	77.59	114.28	
196.60	1.148	-526.02	1035.7	-476.71	1152.4	-268.09	-413.74	-398.87	971.41	1162.8	-176.49	-12.52	43.00	-180.81	77.56	114.30	
196.70	1.148	-525.94	1035.7	-476.70	1152.3	-268.10	-413.75	-398.93	971.37	1162.8	-176.55	-12.51	43.08	-180.83	77.57	114.27	
196.80	1.148	-525.81	1035.7	-476.69	1152.3	-268.08	-413.72	-398.91	971.40	1162.8	-176.51	-12.53	43.11	-180.85	77.58	114.24	
196.90	1.148	-525.78	1035.7	-476.68	1152.3	-268.05	-413.72	-398.89	971.40	1162.8	-176.51	-12.54	43.05	-180.88	77.59	114.25	
197.00	1.148	-525.77	1035.8	-476.69	1152.3	-268.09	-413.72	-398.86	971.44	1162.8	-176.57	-12.52	42.97	-180.95	77.61	114.27	
197.10	1.148	-525.82	1035.8	-476.74	1152.4	-268.16	-413.75	-398.90	971.45	1163.0	-176.52	-12.51	43.02	-180.97	77.62	114.29	
197.20	1.150	-525.88	1035.7	-476.76	1152.4	-268.19	-413.80	-398.97	971.37	1163.0	-176.48	-12.53	43.04	-180.96	77.62	114.29	
197.30	1.149	-525.90	1035.7	-476.76	1152.4	-268.17	-413.81	-398.96	971.36	1163.0	-176.48	-12.55	43.01	-180.95	77.61	114.28	
197.40	1.149	-525.98	1035.8	-476.76	1152.4	-268.16	-413.84	-398.94	971.43	1162.9	-176.49	-12.63	42.99	-180.94	77.60	114.26	
197.50	1.150	-526.08	1035.7	-476.75	1152.4	-268.20	-413.90	-398.90	971.42	1162.8	-176.57	-12.63	43.07	-180.95	77.60	114.25	
197.60	1.150	-526.06	1035.7	-476.76	1152.3	-268.23	-413.84	-398.85	971.40	1162.8	-176.64	-12.59	43.13	-180.96	77.60	114.25	
197.70	1.149	-526.01	1035.7	-476.81	1152.3	-268.25	-413.79	-398.82	971.38	1162.8	-176.62	-12.56	43.12	-180.95	77.59	114.25	
197.80	1.148	-525.95	1035.8	-476.81	1152.3	-268.25	-413.78	-398.91	971.37	1162.7	-176.54	-12.55	43.08	-180.96	77.59	114.26	
197.90	1.148	-525.92	1035.9	-476.75	1152.4	-268.20	-413.74	-398.94	971.39	1162.7	-176.52	-12.54	43.05	-180.98	77.56	114.25	
198.00	1.149	-525.94	1035.8	-476.75	1152.4	-268.12	-413.74	-398.88	971.48	1162.7	-176.48	-12.48	43.04	-180.94	77.55	114.28	
198.10	1.149	-525.95	1035.7	-476.76	1152.3	-268.14	-413.76	-398.92	971.54	1162.7	-176.45	-12.47	43.03	-180.90	77.56	114.29	
198.20	1.148	-525.98	1035.6	-476.73	1152.3	-268.15	-413.75	-399.02	971.52	1162.7	-176.44	-12.47	43.00	-180.90	77.58	114.27	
198.30	1.150	-525.99	1035.8	-476.73	1152.3	-268.10	-413.74	-398.99	971.48	1162.8	-176.48	-12.47	42.94	-180.93	77.59	114.26	
198.40	1.150	-525.99	1035.8	-476.70	1152.4	-268.10	-413.72	-398.89	971.47	1162.8	-176.54	-12.45	42.95	-180.92	77.59	114.26	
198.50	1.149	-525.96	1035.8	-476.67	1152.4	-268.11	-413.70	-398.80	971.45	1162.8	-176.56	-12.44	42.99	-180.88	77.60	114.25	
198.60	1.149	-525.88	1035.8	-476.67	1152.4	-268.08	-413.67	-398.73	971.48	1162.8	-176.53	-12.44	43.02	-180.85	77.60	114.24	
198.70	1.149	-525.89	1035.8	-476.70	1152.4	-268.10	-413.73	-398.76	971.46	1162.9	-176.54	-12.51	43.02	-180.87	77.61	114.22	
198.80	1.149	-525.95	1035.7	-476.74	1152.4	-268.13	-413.78	-398.84	971.48	1162.9	-176.56	-12.53	42.99	-180.91	77.60	114.22	
198.90	1.149	-526.00	1035.7	-476.75	1152.3	-268.13	-413.74	-398.88	971.53	1162.8	-176.56	-12.52	42.98	-180.92	77.57	114.24	
199.00	1.148	-526.03	1035.7	-476.79	1152.4	-268.16	-413.70	-398.85	971.56	1162.8	-176.59	-12.49	42.97	-180.94	77.55	114.26	
199.10	1.149	-526.00	1035.7	-476.82	1152.4	-268.19	-413.78	-398.79	971.55	1162.8	-176.65	-12.45	42.95	-180.96	77.55	114.25	
199.20	1.150	-525.95	1035.7	-476.76	1152.4	-268.23	-413.79	-398.83	971.52	1162.8	-176.65	-12.46	42.97	-180.92	77.55	114.25	
199.30	1.149	-525.90	1035.7	-476.75	1152.4	-268.23	-413.75	-398.85	971.49	1162.7	-176.61	-12.50	43.02	-180.87	77.57	114.26	
199.40	1.149	-525.90	1035.7	-476.78	1152.4	-268.17	-413.77	-398.82	971.49	1162.7	-176.61	-12.54	43.04	-180.90	77.58	114.28	
199.50	1.150	-525.93	1035.7	-476.80	1152.4	-268.13	-413.84	-398.81	971.48	1162.7	-176.59	-12.50	43.00	-180.95	77.58	114.28	
199.60	1.149	-525.92	1035.8	-476.82	1152.4	-268.11	-413.86	-398.83	971.45	1162.8	-176.54	-12.45	42.97	-180.97	77.57	114.26	
199.70	1.149	-525.95	1035.8	-476.82	1152.3	-268.12	-413.86	-398.87	971.41	1162.8	-176.51	-12.47	42.99	-180.97	77.55	114.23	
199.80	1.148	-525.97	1035.8	-476.81	1152.3	-268.14	-413.81	-398.89	971.36	1162.7	-176.54	-12.51	43.03	-180.92	77.56	114.22	
199.90	1.148	-525.94	1035.7	-476.77	1152.3	-268.19	-413.80	-398.91	971.37	1162.7	-176.55	-12.52	43.05	-180.91	77.57	114.23	
200.00	1.149	-525.90	1035.7	-476.74	1152.3	-268.22	-413.81	-398.94	971.43	1162.7	-176.57	-12.56	43.01	-180.97	77.59	114.22	
200.10	1.149	-525.91	1035.7	-476.74	1152.4	-268.24	-413.78	-398.95	971.47	1162.8	-176.58	-12.59	43.00	-180.99	77.59	114.21	
200.20	1.147	-525.95	1035.8	-476.74	1152.4	-268.21	-413.76	-398.88	971.45	1162.8	-176.57	-12.57	43.05	-180.93	77.58	114.21	
200.30	1.150	-525.97	1035.8	-476.76	1152.5	-268.12	-413.73	-398.84	971.42	1162.8	-176.59	-12.47	43.11	-180.88	77.57	114.20	
200.40	1.149	-525.96	1035.8	-476.80	1152.4	-268.12	-413.75	-398.90	971.41	1162.8	-176.56	-12.40	43.11	-180.92	77.56	114.19	
200.50	1.149	-525.92	1035.7	-476.83	1152.4	-268.15	-413.77	-398.94	971.39	1162.8	-176.50	-12.41	43.10	-180.93	77.56	114.21	
200.60	1.150	-525.87	1035.6	-476.82	1152.4	-268.13	-413.74	-398.90	971.43	1162.8	-176.46	-12.45	43.05	-180.92	77.56	114.22	
200.70	1.150	-525.93	1035.7	-476.83	1152.4	-268.15	-413.72	-398.85	971.48	1162.9	-176.49	-12.48	43.02	-180.92	77.56	114.21	
200.80	1.148	-525.95	1035.7	-476.82	1152.4	-268.12	-413.84	-398.87	971.48	1162.8	-176.55	-12.53	43.02	-180.93	77.57	114.18	
200.90	1.149	-525.92	1035.8	-476.81	1152.4	-268.07	-413.88	-398.92	971.45	1162.8	-176.59	-12.49	43.00	-180.94	77.57	114.18	
201.00	1.148	-525.96	1035.8	-476.81	1152.3	-268.11	-413.88	-398.95	971.44	1162.7	-176.61	-12.43	42.96	-180.95	77.58	114.20	
201.10	1.148	-526.03	1035.7	-476.81	1152.3	-268.22	-413.85	-398.95	971.33	1162.7	-176.61	-12.45	42.97	-180.97	77.58	114.19	
201.20	1.150	-526.01	1035.6	-476.82	1152.3	-268.25	-413.80	-398.95	971.23	1162.6	-176.62	-12.49	43.01	-181.02	77.56	114.18	
201.30	1.148	-525.94	1035.7	-476.82	1152.3	-268.24	-413.79	-398.92	971.25	1162.6	-176.60	-12.49	43.01	-181.01	77.57	114.17	
201.40	1.148	-525.87	1035.8	-476.81	1152.3	-268.22	-413.77	-398.88	971.34	1162.7	-176.55	-12.48	43.02	-180.92	77.56	114.18	
201.50	1.149	-525.89	1035.7	-476.85	1152.3	-268.18	-413.79	-398.94	971.33	1162.7	-176.56	-12.55	43.04	-180.86	77.55	114.20	
201.60	1.149	-525.89	1035.6	-476.83	1152.3	-268.18	-413.78	-398.99	971.28	1162.8	-176.58	-12.60	43.02	-180.90	77.54	114.23	
201.70	1.149	-525.87	1035.6	-476.80	1152.3	-268.19	-413.77	-398.96	971.28	1162.8	-176.57	-12.62	43.01	-180.92	77.54	114.22	
201.80	1.149	-525.87	1035.6	-476.75	1152.4	-268.17	-413.77	-398.86	971.40	1162.8	-176.53	-12.61	43.03	-180.88	77.54	114.22	
201.90	1.148	-525.88	1035.7	-476.74	1152.4	-268.16	-413.76	-398.86	971.47	1162.9	-176.51	-12.59	43.06	-180.79	77.54	114.24	
202.00	1.148	-525.88	1035.7	-476.75	1152.4	-268.18	-413.77	-398.88	971.48	1162.9	-176.55	-12.55	43.07	-180.76	77.54	114.24	
202.10	1.148	-525.90	1035.8	-476.78	1152.4	-268.17	-413.78	-398.90	971.45	1162.9	-176.59	-12.53	43.06	-180.77	77.55	114.23	
202.20	1.147	-525.93	1035.7	-476.88	1152.3	-268.21	-413.82	-398.95	971.39	1162.9	-176.65	-12.52	43.06	-180.84	77.56	114.20	
202.30	1.149	-525.95	1035.6	-476.92	1152.3	-268.19	-413.86	-398.96	971.37	1162.9	-176.61	-12.54	43.08	-180.87	77.55	114.20	
202.40	1.149	-525.98	1035.6	-476.88	1152.3	-268.16	-413.87	-398.96	971.39	1162.8	-176.48	-12.55	43.05	-180.85	77.53	114.18	
202.50	1.150	-525.97	1035.6	-476.85	1152.3	-268.19	-413.89	-398.98	971.43	1162.8	-176.42	-12.48	43.05	-180.84	77.51	114.18	
202.60	1.150	-525.97	1035.6	-476.77	1152.3	-268.20	-413.88	-399.01	971.44	1162.8	-176.45	-12.40	43.03	-180.83	77.50	114.18	
202.70	1.150	-525.98	1035.6	-476.72	1152.3	-268.23	-413.88	-398.99	971.33	1162.7	-176.50	-12.43	43.02	-180.85	77.51	114.21	
202.80	1.150	-525.96	1035.6	-476.75	1152.3	-268.26	-413.90	-398.92	971.32	1162.7	-176.56	-12.47	43.01	-180.91	77.54	114.21	
202.90	1.150	-525.94	1035.6	-476.76	1152.3	-268.28	-413.88	-398.87	971.34	1162.8	-176.61	-12.50	43.03	-180.93	77.54	114.23	
203.00	1.148	-525.95	1035.7	-476.78	1152.3	-268.26	-413.84	-398.87	971.34	1162.9	-176.60	-12.55	43.05	-180.91	77.51	114.25	
203.10	1.148	-525.96	1035.6	-476.79	1152.3	-268.21	-413.85	-398.91	971.38	1162.9	-176.52	-12.54	43.04	-180.91	77.45	114.25	
203.20	1.148	-526.00	1035.6	-476.78	1152.3	-268.24	-413.82	-398.92	971.40	1162.9	-176.50	-12.54	42.99	-180.96	77.45	114.23	
203.30	1.147	-526.04	1035.6	-476.80	1152.2	-268.23	-413.81	-398.98	971.37	1162.8	-176.53	-12.52	42.98	-181.02	77.49	114.23	
203.40	1.148	-526.02	1035.7	-476.82	1152.2	-268.19	-413.82	-399.02	971.31	1162.8	-176.54	-12.48	43.03	-181.04	77.53	114.22	
203.50	1.149	-525.95	1035.7	-476.76	1152.3	-268.16	-413.82	-398.99	971.27	1162.8	-176.56	-12.46	43.09	-180.98	77.54	114.21	
203.60	1.148	-525.92	1035.8	-476.74	1152.4	-268.15	-413.86	-398.98	971.30	1162.9	-176.54	-12.52	43.11	-180.86	77.54	114.22	
203.70	1.150	-525.91	1035.8	-476.75	1152.4	-268.15	-413.87	-398.96	971.33	1162.9	-176.50	-12.54	43.12	-180.80	77.50	114.24	
203.80	1.153	-525.89	1035.7	-476.77	1152.4	-268.16	-413.87	-398.92	971.42	1162.9	-176.48	-12.51	43.12	-180.76	77.47	114.24	
203.90	1.153	-525.85	1035.7	-476.79	1152.4	-268.20	-413.88	-398.89	971.48	1162.9	-176.46	-12.48	43.12	-180.78	77.47	114.23	
204.00	1.152	-525.86	1035.7	-476.77	1152.4	-268.22	-413.92	-398.85	971.47	1162.9	-176.49	-12.49	43.10	-180.78	77.46	114.24	
204.10	1.150	-525.89	1035.7	-476.74	1152.3	-268.21	-413.88	-398.82	971.46	1162.8	-176.54	-12.49	43.12	-180.77	77.42	114.27	
204.20	1.149	-525.89	1035.7	-476.72	1152.3	-268.16	-413.85	-398.86	971.45	1162.8	-176.55	-12.45	43.16	-180.77	77.38	114.32	
204.30	1.150	-525.88	1035.6	-476.76	1152.3	-268.14	-413.83	-398.96	971.42	1162.8	-176.49	-12.40	43.15	-180.82	77.33	114.37	
204.40	1.149	-525.92	1035.6	-476.78	1152.3	-268.14	-413.78	-398.98	971.41	1162.9	-176.46	-12.42	43.10	-180.87	77.27	114.42	
204.50	1.148	-525.96	1035.7	-476.76	1152.3	-268.13	-413.72	-398.95	971.43	1162.9	-176.48	-12.48	43.04	-180.91	77.26	114.43	
204.60	1.149	-526.00	1035.8	-476.77	1152.3	-268.19	-413.66	-398.99	971.45	1162.8	-176.54	-12.52	42.99	-180.96	77.29	114.39	
204.70	1.149	-526.04	1035.8	-476.75	1152.3	-268.25	-413.70	-399.02	971.43	1162.8	-176.56	-12.48	43.03	-180.94	77.30	114.32	
204.80	1.149	-526.02	1035.9	-476.74	1152.4	-268.21	-413.74	-398.99	971.40	1162.8	-176.54	-12.38	43.07	-180.90	77.28	114.30	
204.90	1.150	-526.00	1035.8	-476.77	1152.3	-268.20	-413.74	-398.93	971.39	1162.9	-176.51	-12.34	43.09	-180.91	77.28	114.30	
205.00	1.150	-525.98	1035.7	-476.79	1152.2	-268.19	-413.74	-398.90	971.38	1162.9	-176.44	-12.36	43.08	-180.93	77.31	114.28	
205.10	1.151	-525.95	1035.6	-476.76	1152.2	-268.18	-413.76	-398.89	971.37	1162.9	-176.41	-12.43	43.06	-180.90	77.34	114.23	
205.20	1.151	-525.93	1035.7	-476.73	1152.3	-268.17	-413.75	-398.86	971.33	1162.8	-176.45	-12.44	43.00	-180.88	77.43	114.14	
205.30	1.149	-525.95	1035.6	-476.70	1152.3	-268.15	-413.74	-398.85	971.29	1162.8	-176.49	-12.42	42.98	-180.89	77.51	114.09	
205.40	1.150	-525.94	1035.6	-476.68	1152.3	-268.13	-413.75	-398.79	971.32	1162.9	-176.51	-12.42	42.95	-180.95	77.58	114.05	
205.50	1.150	-525.94	1035.6	-476.70	1152.3	-268.15	-413.78	-398.75	971.38	1162.9	-176.45	-12.45	42.93	-180.97	77.56	114.06	
205.60	1.149	-525.97	1035.7	-476.70	1152.3	-268.19	-413.85	-398.81	971.36	1162.9	-176.46	-12.42	42.95	-180.96	77.54	114.08	
205.70	1.149	-526.00	1035.7	-476.72	1152.3	-268.17	-413.87	-398.83	971.36	1162.9	-176.54	-12.42	42.96	-180.93	77.54	114.08	
205.80	1.151	-526.06	1035.7	-476.79	1152.3	-268.13	-413.84	-398.83	971.37	1162.8	-176.57	-12.52	43.00	-180.83	77.55	114.05	
205.90	1.151	-526.09	1035.7	-476.82	1152.3	-268.16	-413.80	-398.87	971.37	1162.8	-176.55	-12.55	43.04	-180.80	77.50	114.04	
206.00	1.151	-526.01	1035.7	-476.78	1152.3	-268.22	-413.77	-398.87	971.40	1162.8	-176.52	-12.47	43.14	-180.82	77.44	114.09	
206.10	1.149	-525.95	1035.7	-476.73	1152.3	-268.20	-413.79	-398.88	971.39	1162.8	-176.50	-12.46	43.12	-180.85	77.41	114.14	
206.20	1.149	-525.96	1035.7	-476.73	1152.2	-268.14	-413.87	-398.87	971.39	1162.7	-176.45	-12.48	43.04	-180.92	77.38	114.10	
206.30	1.149	-526.00	1035.7	-476.76	1152.3	-268.15	-413.88	-398.90	971.44	1162.7	-176.41	-12.48	43.04	-180.92	77.40	114.02	
206.40	1.148	-525.98	1035.7	-476.77	1152.3	-268.25	-413.81	-398.94	971.41	1162.7	-176.42	-12.47	43.09	-180.83	77.43	113.97	
206.50	1.146	-525.97	1035.6	-476.78	1152.2	-268.28	-413.79	-398.97	971.38	1162.7	-176.40	-12.47	43.11	-180.77	77.43	113.96	
206.60	1.148	-525.98	1035.7	-476.78	1152.2	-268.30	-413.79	-398.98	971.41	1162.7	-176.40	-12.49	43.12	-180.74	77.43	113.98	
206.70	1.148	-525.94	1035.8	-476.76	1152.3	-268.27	-413.74	-398.92	971.46	1162.9	-176.46	-12.50	43.10	-180.76	77.42	114.01	
206.80	1.147	-525.92	1035.8	-476.79	1152.3	-268.17	-413.72	-398.86	971.44	1163.0	-176.51	-12.55	43.07	-180.83	77.44	114.03	
206.90	1.147	-525.97	1035.8	-476.82	1152.2	-268.15	-413.73	-398.87	971.38	1163.0	-176.50	-12.62	43.04	-180.88	77.45	114.03	
207.00	1.147	-526.05	1035.8	-476.83	1152.3	-268.19	-413.74	-398.88	971.40	1163.0	-176.50	-12.61	43.02	-180.88	77.43	114.02	
207.10	1.147	-526.05	1035.7	-476.79	1152.3	-268.19	-413.74	-398.88	971.44	1162.9	-176.48	-12.53	43.02	-180.85	77.42	114.01	
