Date,Time,Temperature,Pressure
06/10/2015,133931.312,35,65535
06/10/2015,133932.312,35,65535
06/10/2015,133933.312,35,65535
06/10/2015,133934.312,35,65535
06/10/2015,133935.312,35,65535
06/10/2015,133936.312,35,65535
06/10/2015,133937.312,35,65535
06/10/2015,133938.312,35,65535
06/10/2015,133939.312,35,65535
06/10/2015,133940.312,35,65535
06/10/2015,133941.312,35,65535
06/10/2015,133942.312,35,65535
06/10/2015,133943.312,35,65535
06/10/2015,133944.312,35,65535
06/10/2015,133945.312,35,65535
06/10/2015,133946.312,36,65535
06/10/2015,133947.312,36,65535
06/10/2015,133948.312,36,65535
06/10/2015,133949.312,36,65535
06/10/2015,133950.312,36,65535
06/10/2015,133951.312,36,65535
06/10/2015,133952.312,36,65535
06/10/2015,133953.312,36,65535
06/10/2015,133954.312,35,65535
06/10/2015,133955.312,35,65535
06/10/2015,133956.312,35,65535
06/10/2015,133957.312,35,65535
06/10/2015,133958.312,35,65535
06/10/2015,133959.312,35,65535
06/10/2015,134000.312,35,65535
06/10/2015,134001.312,35,65535
06/10/2015,134002.312,35,65535
06/10/2015,134003.312,35,65535
06/10/2015,134004.312,35,65535
06/10/2015,134005.312,35,65535
06/10/2015,134006.312,35,65535
06/10/2015,134007.312,35,65535
06/10/2015,134008.312,35,65535
06/10/2015,134009.312,35,65535
06/10/2015,134010.312,35,65535
06/10/2015,134011.312,35,65535
06/10/2015,134012.312,35,65535
06/10/2015,134013.312,35,65535
06/10/2015,134014.312,35,65535
06/10/2015,134015.312,35,65535
06/10/2015,134016.312,35,65535
06/10/2015,134017.312,35,65535
06/10/2015,134018.312,35,65535
06/10/2015,134019.312,35,65535
06/10/2015,134020.312,35,65535
06/10/2015,134021.312,35,65535
06/10/2015,134022.312,35,65535
06/10/2015,134023.312,35,65535
06/10/2015,134024.312,35,65535
06/10/2015,134025.312,35,65535
06/10/2015,134026.312,35,65535
06/10/2015,134027.312,35,65535
06/10/2015,134028.312,35,65535
06/10/2015,134029.312,35,65535
06/10/2015,134030.312,35,65535
06/10/2015,134031.312,35,65535
06/10/2015,134032.312,35,65535
06/10/2015,134033.312,35,65535
06/10/2015,134034.312,35,65535
06/10/2015,134035.312,35,65535
06/10/2015,134036.312,35,65535
06/10/2015,134037.312,35,65535
06/10/2015,134038.312,35,65535
06/10/2015,134039.312,35,65535
06/10/2015,134040.312,35,65535
06/10/2015,134041.312,35,65535
06/10/2015,134042.312,35,65535
06/10/2015,134043.312,35,65535
06/10/2015,134044.312,35,65535
06/10/2015,134045.312,35,65535
06/10/2015,134046.312,35,65535
06/10/2015,134047.312,35,65535
06/10/2015,134048.312,35,65535
06/10/2015,134049.312,35,65535
06/10/2015,134050.312,35,65535
06/10/2015,134051.312,35,65535
06/10/2015,134052.312,35,65535
06/10/2015,134053.312,35,65535
06/10/2015,134054.312,35,65535
06/10/2015,134055.312,35,65535
06/10/2015,134056.312,35,65535
06/10/2015,134057.312,35,65535
06/10/2015,134058.312,35,65535
06/10/2015,134059.312,35,65535
06/10/2015,134100.312,35,65535
06/10/2015,134101.312,35,65535
06/10/2015,134102.312,35,65535
06/10/2015,134103.312,35,65535
06/10/2015,134104.312,35,65535
06/10/2015,134105.312,35,65535
06/10/2015,134106.312,35,65535
06/10/2015,134107.312,35,65535
06/10/2015,134108.312,35,65535
06/10/2015,134109.312,35,65535
06/10/2015,134110.312,35,65535
06/10/2015,134111.312,35,65535
06/10/2015,134112.312,35,65535
06/10/2015,134113.312,35,65535
06/10/2015,134114.312,36,65535
06/10/2015,134115.312,36,65535
06/10/2015,134116.312,36,65535
06/10/2015,134117.312,36,65535
06/10/2015,134118.312,36,65535
06/10/2015,134119.312,36,65535
06/10/2015,134120.312,36,65535
06/10/2015,134121.312,36,65535
06/10/2015,134122.312,36,65535
06/10/2015,134123.312,36,65535
06/10/2015,134124.312,36,65535
06/10/2015,134125.312,36,65535
06/10/2015,134126.312,36,65535
06/10/2015,134127.312,36,65535
06/10/2015,134128.312,36,65535
06/10/2015,134129.312,36,65535
06/10/2015,134130.312,36,65535
06/10/2015,134131.312,36,65535
06/10/2015,134132.312,36,65535
06/10/2015,134133.312,36,65535
